payer,payee,amount0,amount1,opcode
0,1,59108,93,1
2,3,52722,488,1
4,5,92233,187,1
6,7,12784,425,1
8,9,89222,478,1
10,11,34905,461,1
12,13,52146,36,1
14,15,20264,286,1
16,17,62855,57,1
16,18,34976,119,1
19,20,59689,196,1
21,22,67883,418,1
23,24,84284,128,1
8,25,93662,360,1
6,26,7493,300,1
27,2,65965,20,1
28,29,3658,94,1
30,31,55371,404,1
8,32,34676,489,1
33,34,29048,378,1
27,35,15310,144,1
36,37,72579,491,1
23,38,96646,255,1
14,39,68860,51,1
23,40,37145,150,1
12,41,27841,261,1
42,43,25982,249,1
44,45,7349,432,1
12,46,89657,300,1
19,47,54240,278,1
21,48,76373,150,1
49,50,57034,472,1
6,51,99217,354,1
8,52,61813,169,1
36,53,23455,368,1
54,55,31053,41,1
56,57,13783,356,1
42,58,96288,376,1
59,60,14821,285,1
44,61,31451,13,1
62,52,16404,37,1
21,63,68818,241,1
16,64,94774,441,1
65,60,21961,154,1
33,31,59872,374,1
27,66,63433,450,1
8,67,63625,124,1
65,68,21975,174,1
8,69,92812,228,1
70,71,89829,465,1
72,60,31920,209,1
0,73,91276,15,1
33,74,58422,500,1
75,76,74912,494,1
65,77,30881,295,1
16,78,71131,375,1
42,58,36920,192,1
23,79,2332,496,1
80,81,19396,369,1
33,82,82425,53,1
42,83,28390,404,1
36,84,4652,245,1
85,86,4187,170,1
8,87,47598,33,1
56,88,38048,50,1
89,90,58682,319,1
8,31,20179,431,1
16,91,90437,297,1
92,93,35738,71,1
4,94,9404,298,1
30,95,28594,83,1
8,96,43613,396,1
27,97,20746,13,1
30,98,43352,358,1
99,100,92832,68,1
8,101,27740,163,1
42,102,6507,14,1
65,103,74903,420,1
19,104,60639,99,1
105,106,16946,174,1
14,107,2326,281,1
33,108,36690,356,1
21,109,56696,441,1
110,111,39625,77,1
112,113,14940,464,1
8,114,19282,143,1
27,115,84909,193,1
116,27,80877,36,1
8,117,1190,332,1
36,118,90882,201,1
23,119,18050,344,1
14,120,84230,205,1
65,121,87362,441,1
12,122,17088,106,1
19,123,23520,304,1
56,124,90395,293,1
27,125,18752,448,1
27,126,97788,453,1
27,127,93096,81,1
128,129,99741,339,1
26,130,20773,447,1
72,131,29944,217,1
132,133,52371,379,1
33,134,56775,313,1
72,135,55734,124,1
6,136,94644,133,1
44,137,81790,433,1
65,138,79663,226,1
14,139,46476,428,1
140,141,46967,374,1
19,142,72419,166,1
72,74,7801,175,1
65,143,49099,17,1
19,144,26093,368,1
72,145,23438,148,1
72,17,17822,386,1
28,63,93635,278,1
21,146,50945,454,1
147,148,58558,206,1
8,149,95160,136,1
150,151,13058,227,1
152,153,80093,436,1
44,154,24369,321,1
56,155,34929,156,1
23,156,47945,112,1
65,157,97707,479,1
14,86,34152,486,1
56,158,34216,88,1
0,159,6252,19,1
160,54,14333,25,1
161,162,53949,486,1
44,163,47967,338,1
23,164,18302,399,1
161,10,62265,207,1
33,165,77975,184,1
12,166,62038,73,1
152,97,15616,292,1
167,168,40547,202,1
8,28,40067,383,1
169,170,76117,198,1
44,83,35692,228,1
171,73,6589,459,1
23,172,59672,115,1
173,174,93139,346,1
4,175,80601,393,1
56,176,19350,226,1
19,177,40944,127,1
19,178,76081,46,1
0,142,40497,383,1
179,180,84165,336,1
0,181,36433,479,1
176,182,88082,223,1
8,183,23374,264,1
19,184,89794,119,1
23,6,83154,128,1
8,30,81096,374,1
0,185,2452,415,1
12,186,15216,211,1
187,188,23987,440,1
56,189,23503,492,1
190,191,63448,448,1
192,193,79621,327,1
14,194,49572,55,1
33,195,80811,194,1
12,196,79713,424,1
14,197,25251,195,1
19,178,13759,191,1
19,198,11151,40,1
12,199,70718,89,1
30,122,74601,204,1
42,200,59417,271,1
8,201,850,220,1
56,202,19049,428,1
12,203,9778,456,1
33,201,43356,251,1
42,166,94193,193,1
204,205,56840,468,1
12,206,28035,46,1
207,208,24626,486,1
170,209,55154,63,1
8,210,75051,106,1
56,46,5802,381,1
42,211,73829,263,1
50,212,38510,182,1
23,173,20554,26,1
16,213,52931,90,1
0,214,34622,497,1
23,10,95660,184,1
